FIPS,name,hwbi,moe,cn,cn_moe,cf,cf_moe,ed,ed_moe,he,he_moe,lt,lt_moe,ls,ls_moe,ss,ss_moe,sc,sc_moe
13007,"Baker County, Georgia",47.78191163,2.37121084,57.36498253,11.32056617,34.98403394,10.11045321,37.26864884,3.302775939,56.22038661,3.277200746,54.94253621,3.444211077,47.13028567,3.885309673,60.66977573,5.2546202,41.13133206,3.096766901
13009,"Baldwin County, Georgia",47.73618175,2.219117831,84.78135263,10.2937804,34.50812525,10.13617671,30.83470768,3.378957833,54.86089672,2.328744785,58.31668508,2.779005585,46.89632097,3.961865471,52.34364738,4.901159038,38.05935276,2.770998513
13011,"Banks County, Georgia",49.82627967,2.140898469,57.36498253,11.37847739,47.31474149,10.23585524,47.41540603,3.334652413,57.31187753,2.753089326,47.37730761,3.030040274,49.66358308,3.905202014,53.94312161,4.963553513,40.58034576,3.147888531
13013,"Barrow County, Georgia",53.50044847,2.1742989,57.36498253,11.43786783,51.84002022,11.28217478,55.59206401,2.720434587,56.60688901,2.396854612,53.39797117,2.199023771,48.95185324,2.247883736,58.02145768,4.902940177,47.29146153,2.779353789
13015,"Bartow County, Georgia",53.60690633,2.225735705,47.3043937,10.55592924,50.10172595,10.57544119,53.26160975,2.630490233,59.05184011,2.084464222,58.14417384,2.02956799,53.33157133,2.108135473,59.88788428,4.921658953,49.26454916,2.587255885
13017,"Ben Hill County, Georgia",52.11315208,1.909733209,76.54393074,10.63363954,53.3367406,10.13509418,42.84365185,3.215390839,55.78847992,2.370386963,52.25705561,2.537029223,49.91024229,4.047719334,48.44056538,4.961144693,44.12316723,2.676107055
13019,"Berrien County, Georgia",49.19569864,2.202423684,57.86311365,11.28535148,40.15036034,10.04370386,40.18117098,3.225007163,52.7933506,2.25694594,55.99955003,2.832775285,50.0663583,3.852680249,59.2915181,4.857409967,41.87944213,2.712222188
13021,"Bibb County, Georgia",46.31456833,2.072115289,57.36498253,11.33988936,40.15361691,9.939893987,36.33776771,2.750446543,57.98579088,1.806475621,54.58826923,2.359323195,45.64301618,1.913663613,44.37654839,5.012315501,39.45139991,2.695180916
13023,"Bleckley County, Georgia",50.04719031,2.049846377,84.78135263,10.28621507,43.05563123,9.949530687,30.97004746,3.30662634,54.7085374,3.14047432,55.70738141,3.602879214,47.55522868,4.033354102,64.39324809,4.883316298,37.30430723,3.213902294
13025,"Brantley County, Georgia",52.86620786,2.185047362,49.12756064,10.62679085,52.03255671,10.27757287,50.85857029,3.248642749,57.06085922,2.345062065,53.40771473,2.630441294,50.52538735,3.893666616,63.90150991,4.980034848,47.69772727,2.747999725
13027,"Brooks County, Georgia",47.04785427,2.192781128,57.36498253,11.34580659,38.68362645,9.960632163,37.56234448,3.30410798,57.22608326,2.47377723,53.35645388,2.677292576,47.34194378,3.886927232,50.85566722,5.012328111,39.17647976,2.777508905
13029,"Bryan County, Georgia",53.14069004,2.216280424,57.36498253,11.35923708,48.36267209,10.58189689,45.39449413,3.308716287,59.69994537,2.31096813,55.96364973,2.491770604,49.75715973,3.874978431,66.38904226,4.987802304,45.75359601,2.795090492
13031,"Bulloch County, Georgia",49.46472411,2.128588439,84.78135263,10.35602115,36.23089228,10.08993117,33.58834994,3.031000827,56.48981145,2.040344712,57.14756636,2.577919828,45.9268978,2.252200667,58.69739723,5.003705793,39.91561893,2.7893252
13033,"Burke County, Georgia",48.46109492,2.178204025,49.12756064,10.61199383,48.4447063,10.57455254,46.40651048,3.286920886,55.93063932,2.24244464,59.62591442,2.498516494,46.95247639,3.912490997,40.89949412,5.180866415,43.00649635,2.588047996
13035,"Butts County, Georgia",54.99208839,2.238829974,57.36498253,11.30388143,52.27811283,11.13753374,58.9596046,3.221384638,56.73642701,2.451347705,54.00324916,2.24307035,49.75030268,3.897310384,66.25216033,4.875428392,46.8384731,2.860858383
13037,"Calhoun County, Georgia",47.21421393,3.244579155,90,10.42190449,20.2296604,10.15373558,38.48755081,3.359731796,63.05075611,3.113742196,55.87144235,3.655607609,43.41416502,3.936056768,57.18387229,5.177100641,40.29447816,3.15918585
13039,"Camden County, Georgia",53.47689184,2.797102142,34.7207638,11.53938791,54.90371288,11.60798764,60.49821877,3.300810367,57.38221621,1.836955978,54.88817456,2.175080804,52.75724299,3.908089189,62.77003528,4.975723082,55.60388253,2.831176087
